species,cs_flux,carbon,growth
Pantoea agglomerans,0.5,Mannitol,0.06953415305125987
Pseudomonas asiatica,0.5,Mannitol,0.0695349679024518
Pseudomonas delhiensis,0.5,Mannitol,0.06953751199076107
Sphingomonas paucimobilis,0.5,Mannitol,0.0695375119907613
Agrobacterium tumefaciens,1.0,Mannitol,0.13907502398152227
Alcaligenes faecalis,1.0,Mannitol,0.12805725915348673
Delftia acidovorans,1.0,Mannitol,0.13907437204828305
Pandoraea vervacti,1.0,Mannitol,0.13907502398152216
Pantoea agglomerans,1.0,Mannitol,0.13906830610251972
Pseudomonas asiatica,1.0,Mannitol,0.13906993580490254
Pseudomonas delhiensis,1.0,Mannitol,0.13907502398152244
Sphingomonas paucimobilis,1.0,Mannitol,0.1390750239815226
Agrobacterium tumefaciens,4.0,Mannitol,0.5563000959260898
Alcaligenes faecalis,4.0,Mannitol,0.5122290366139469
Delftia acidovorans,4.0,Mannitol,0.5562974881931331
Pandoraea vervacti,4.0,Mannitol,0.5563000959260886
Pantoea agglomerans,4.0,Mannitol,0.5562732244100789
Pseudomonas asiatica,4.0,Mannitol,0.5562797432196102
Pseudomonas delhiensis,4.0,Mannitol,0.5563000959260898
Sphingomonas paucimobilis,4.0,Mannitol,0.5563000959260904
Agrobacterium tumefaciens,2.0,Mannitol,0.2781500479630449
Alcaligenes faecalis,2.0,Mannitol,0.25611451830697346
Delftia acidovorans,2.0,Mannitol,0.27814874409656654
Pandoraea vervacti,2.0,Mannitol,0.2781500479630443
Pantoea agglomerans,2.0,Mannitol,0.27813661220503944
Pseudomonas asiatica,2.0,Mannitol,0.2781398716098051
Pseudomonas delhiensis,2.0,Mannitol,0.2781500479630449
Sphingomonas paucimobilis,2.0,Mannitol,0.2781500479630452
Agrobacterium tumefaciens,8.0,Mannitol,1.1126001918521795
Alcaligenes faecalis,8.0,Mannitol,1.024458073227891
Delftia acidovorans,8.0,Mannitol,1.1125949763862661
Pandoraea vervacti,8.0,Mannitol,1.1126001918521773
Pantoea agglomerans,8.0,Mannitol,1.1125464488201577
Pseudomonas asiatica,8.0,Mannitol,1.1125594864392203
Pseudomonas delhiensis,8.0,Mannitol,1.1126001918521775
Sphingomonas paucimobilis,8.0,Mannitol,1.1126001918521808
Agrobacterium tumefaciens,0.25,Citrate,0.033490325287528204
Alcaligenes faecalis,0.25,Citrate,0.025975686691043567
Delftia acidovorans,0.25,Citrate,0.025976037709705798
Pandoraea vervacti,0.25,Citrate,0.025977027224137327
Pantoea agglomerans,0.25,Citrate,0.022867467066305006
Pseudomonas asiatica,0.25,Citrate,0.021854963195655844
Pseudomonas delhiensis,0.25,Citrate,0.02342929434829601
Sphingomonas paucimobilis,0.25,Citrate,0.033490325287528266
Agrobacterium tumefaciens,0.5,Citrate,0.06698065057505612
Alcaligenes faecalis,0.5,Citrate,0.05195137338208715
Delftia acidovorans,0.5,Citrate,0.05195207541941157
Pandoraea vervacti,0.5,Citrate,0.05195405444827465
Pantoea agglomerans,0.5,Citrate,0.04573493413260994
Pseudomonas asiatica,0.5,Citrate,0.04370992639131166
Pseudomonas delhiensis,0.5,Citrate,0.04685858869659196
Sphingomonas paucimobilis,0.5,Citrate,0.06698065057505641
Agrobacterium tumefaciens,1.0,Citrate,0.13396130115011276
Alcaligenes faecalis,1.0,Citrate,0.10390274676417376
Delftia acidovorans,1.0,Citrate,0.10390415083882341
Pandoraea vervacti,1.0,Citrate,0.1039081088965493
Pantoea agglomerans,1.0,Citrate,0.09146986826521972
Pseudomonas asiatica,1.0,Citrate,0.08741985278262385
Pseudomonas delhiensis,1.0,Citrate,0.09371717739318426
Sphingomonas paucimobilis,1.0,Citrate,0.13396130115011282
Agrobacterium tumefaciens,4.0,Citrate,0.5358452046004515
Alcaligenes faecalis,4.0,Citrate,0.41561098705669636
Delftia acidovorans,4.0,Citrate,0.41561660335529427
Pandoraea vervacti,4.0,Citrate,0.4156324355861972
Pantoea agglomerans,4.0,Citrate,0.36587947306087876
Pseudomonas asiatica,4.0,Citrate,0.3496794111304954
Pseudomonas delhiensis,4.0,Citrate,0.37486870957273705
Sphingomonas paucimobilis,4.0,Citrate,0.5358452046004513
Agrobacterium tumefaciens,2.0,Citrate,0.26792260230022574
Alcaligenes faecalis,2.0,Citrate,0.20780549352834818
Delftia acidovorans,2.0,Citrate,0.20780830167764713
Pandoraea vervacti,2.0,Citrate,0.2078162177930986
Pantoea agglomerans,2.0,Citrate,0.18293973653043938
Pseudomonas asiatica,2.0,Citrate,0.1748397055652477
Pseudomonas delhiensis,2.0,Citrate,0.18743435478636852
Sphingomonas paucimobilis,2.0,Citrate,0.26792260230022563
Agrobacterium tumefaciens,8.0,Citrate,1.0716904092009023
Alcaligenes faecalis,8.0,Citrate,0.8312219741133945
Delftia acidovorans,8.0,Citrate,0.8312332067105885
Pandoraea vervacti,8.0,Citrate,0.8312648711723944
