metabolite,name,formula,carbon_atom
2agpe181_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P,Presence
2agpe181_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P,Presence
2ahhmd_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine diphosphate C7H8N5O8P2,C7H8N5O8P2,Presence
2ahhmp_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2,C7H9N5O2,Presence
2ameph_c,2-Aminoethylphosphonate,C2H8NO3P,Presence
2ameph_e,2-Aminoethylphosphonate,C2H8NO3P,Presence
2ameph_p,2-Aminoethylphosphonate,C2H8NO3P,Presence
2ddecg3p_c,2-dodecanoyl-sn-glycerol 3-phosphate,C15H30O7P,Presence
2ddecg3p_p,2-dodecanoyl-sn-glycerol 3-phosphate,C15H30O7P,Presence
2h3opp_c,2 Hydroxy 3 oxopropanoate C3H3O4,C3H3O4,Presence
2hdec9eg3p_c,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H36O7P,Presence
2hdec9eg3p_p,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H36O7P,Presence
2obut_e,2-Oxobutanoate,C4H5O3,Presence
2oxpaccoa_c,2-oxepin-2(3H)-ylideneacetyl-CoA,C29H38N7O18P3S,Presence
2tdec7eg3p_c,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H32O7P,Presence
2tdec7eg3p_p,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H32O7P,Presence
3hcinnm_c,3-hydroxycinnamic acid,C9H7O3,Presence
3hcinnm_e,3-hydroxycinnamic acid,C9H7O3,Presence
3hcinnm_p,3-hydroxycinnamic acid,C9H7O3,Presence
3hpppn_c,3-(3-hydroxy-phenyl)propionate,C9H9O3,Presence
3hpppn_e,3-(3-hydroxy-phenyl)propionate,C9H9O3,Presence
3hpppn_p,3-(3-hydroxy-phenyl)propionate,C9H9O3,Presence
3mb_c,3-Methylbutanoic acid,C5H9O2,Presence
3oxdhscoa_c,"3-oxo-5,6-dehydrosuberyl-CoA",C29H39N7O20P3S,Presence
3oxptcoa_c,3 Oxopentanoyl CoA,C26H38N7O18P3S,Presence
4hba_e,4-Hydroxy-benzyl alcohol,C7H8O2,Presence
4hphac_e,4-Hydroxyphenylacetate,C8H7O3,Presence
4met2obut_c,4-Methylthio-2-oxobutanoate,C5H8O3S,Presence
5aptn_e,5-Aminopentanoate,C5H11NO2,Presence
5aptn_p,5-Aminopentanoate,C5H11NO2,Presence
5dglcn_e,5-Dehydro-D-gluconate,C6H9O7,Presence
6apa_p,6 Aminopenicillanic acid C8H12N2O3S,C8H12N2O3S,Presence
6hnac_e,6-Hydroxynicotinate,C6H4NO3,Presence
6hnac_p,6-Hydroxynicotinate,C6H4NO3,Presence
Pald_c,Phosphonoacetaldehyde,C2H3O4P,Presence
R3hdec4e_e, 3 Hydroxy 4Z decenic acid,C10H17O3,Presence
R3hdec4e_p, 3 Hydroxy 4Z decenic acid,C10H17O3,Presence
R_3hcmrs7e_e, 3 hydroxy cis myristol 7 en,C14H25O3,Presence
R_3hcmrs7e_p, 3 hydroxy cis myristol 7 en,C14H25O3,Presence
R_3hdcaa_e, 3 hydroxydecanoic acid,C10H19O3,Presence
R_3hdcaa_p, 3 hydroxydecanoic acid,C10H19O3,Presence
R_3hdd5ea_e, 3 Hydroxydodecanoic 5 en acid,C12H22O3,Presence
R_3hdd5ea_p, 3 Hydroxydodecanoic 5 en acid,C12H22O3,Presence
R_3hdda_e, 3 Hydroxydodecanoic acid,C12H23O3,Presence
R_3hdda_p, 3 Hydroxydodecanoic acid,C12H23O3,Presence
R_3hhdca_e, 3 Hydroxyhexadecanoic acid,C16H31O3,Presence
R_3hhdca_p, 3 Hydroxyhexadecanoic acid,C16H31O3,Presence
R_3hhpa_e, 3 hydroxyheptanoic acid,C7H13O3,Presence
R_3hhpa_p, 3 hydroxyheptanoic acid,C7H13O3,Presence
R_3hhxa_e, 3 hydroxyhexanoic acid,C6H11O3,Presence
R_3hhxa_p, 3 hydroxyhexanoic acid,C6H11O3,Presence
R_3hocta_e, 3 hydroxyoctanoic acid,C8H15O3,Presence
R_3hocta_p, 3 hydroxyoctanoic acid,C8H15O3,Presence
R_3hpba_e, 3 Hydroxyphenylbutanoic acid,C10H11O3,Presence
R_3hpba_p, 3 Hydroxyphenylbutanoic acid,C10H11O3,Presence
R_3hphxa_e, 3 Hydroxy 6 phenylhexanoic acid,C12H13O3,Presence
R_3hphxa_p, 3 Hydroxy 6 phenylhexanoic acid,C12H13O3,Presence
R_3htd5e_e, 3 hydroxy  5Z  tetradecenic acid,C14H25O3,Presence
R_3htd5e_p, 3 hydroxy  5Z  tetradecenic acid,C14H25O3,Presence
R_3httdca_e, 3 Hydroxytetradecanoic acid,C14H27O3,Presence
R_3httdca_p, 3 Hydroxytetradecanoic acid,C14H27O3,Presence
abt__L_c,L Arabinitol C5H12O5,C5H12O5,Presence
acac_e,Acetoacetate,C4H5O3,Presence
acac_p,Acetoacetate,C4H5O3,Presence
acald_p,Acetaldehyde,C2H4O,Presence
acglu_e,N-Acetyl-L-glutamate,C7H9NO5,Presence
ad_c,Acetamide,C2H5NO,Presence
ad_e,Acetamide,C2H5NO,Presence
ade_e,Adenine,C5H5N5,Presence
ade_p,Adenine,C5H5N5,Presence
adhlam_c,S-Acetyldihydrolipoamide,C10H19NO2S2,Presence
ala_B_e,Beta-Alanine,C3H7NO2,Presence
ala_B_p,Beta-Alanine,C3H7NO2,Presence
ala__D_e,D-Alanine,C3H7NO2,Presence
alltn_e,Allantoin,C4H6N4O3,Presence
alltn_p,Allantoin,C4H6N4O3,Presence
butpi_c,Butanoyl phosphate,C4H7O5P,Presence
bzsucc_c,Benzylsuccinate,C11H10O4,Presence
bzsuccoa_c,Benzylsuccinyl-CoA,C32H41N7O19P3S,Presence
cechddd_c,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol",C9H11O4,Presence
cell4_e,Cellulose (n=4 repeating units),C24H42O21,Presence
ch4s_e,Methanethiol CH4S,CH4S,Presence
chtbs6p_c,Diacetylchitobiose-6-phosphate,C16H27N2O14P,Presence
chtbs_e,"N,N'-diacetylchitobiose",C16H28N2O11,Presence
chtbs_p,"N,N'-diacetylchitobiose",C16H28N2O11,Presence
clpn160_c,"Cardiolipin (tetrahexadecanoyl, n-C16:0)",C73H140O17P2,Presence
cu_e,Cu+,Cu,Absence
cu_p,Cu+,Cu,Absence
cyst__L_e,L-Cystathionine,C7H14N2O4S,Presence
ddca_e,Dodecanoate (n-C12:0),C12H23O2,Presence
dhmtp_c,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one",C6H10O3S,Presence
dhpppn_c,"3-(2,3-Dihydroxyphenyl)propanoate",C9H9O4,Presence
diact_e,Diacetyl C4H6O2,C4H6O2,Presence
dkmpp_c,"2,3-diketo-5-methylthio-1-phosphopentane",C6H9O6PS,Presence
dxylnt_c,D-Xylonate,C5H9O6,Presence
dxylnt_e,D-Xylonate,C5H9O6,Presence
dxylnt_p,D-Xylonate,C5H9O6,Presence
fc1p_c,L-Fuculose 1-phosphate,C6H11O8P,Presence
fe3mcbtt_c,Iron III  chelated mycobactin T,C47FeH78N5O10,Presence
fe3mcbtt_e,Iron III  chelated mycobactin T,C47FeH77N5O10,Presence
fe3mcbtt_p,Iron III  chelated mycobactin T,C47FeH77N5O10,Presence
fe3pyovd_kt_p,Ferrypyoverdine  P putida KT2440 specific,C27FeH48N10O15,Presence
forglu_e,N-Formimidoyl-L-glutamate,C6H9N2O4,Presence
fru_B_c,Beta-D-fructose,C6H12O6,Presence
fuc_e,L-fuculose,C6H12O5,Presence
glyclt_e,Glycolate C2H3O3,C2H3O3,Presence
glyclt_p,Glycolate C2H3O3,C2H3O3,Presence
hdca_e,Hexadecanoate (n-C16:0),C16H31O2,Presence
hdcea_e,Hexadecenoate (n-C16:1),C16H29O2,Presence
hg2_e,Mercury  charged 2  Hg,Hg,Absence
hkndd_c,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",C9H8O6,Presence
id3acald_e,Indole 3 acetaldehyde C10H9NO,C10H9NO,Presence
lac__D_p,D-Lactate,C3H5O3,Presence
lac__L_p,L-Lactate,C3H5O3,Presence
lipoamp_c,Lipoyl-AMP,C18H25N5O8PS2,Presence
lipoate_c,Lipoate,C8H13O2S2,Presence
lipoate_e,Lipoate,C8H13O2S2,Presence
lipopb_c,Lipoate (protein bound),C8H13OS2,Presence
malttre_c,Maltosyltrehalose,C24H42O21,Presence
man1p_e,D-Mannose 1-phosphate,C6H11O9P,Presence
mcbtt_c,Mycobactin T,C47H77N5O10,Presence
mcbtt_e,Mycobactin T,C47H77N5O10,Presence
mcbtt_p,Mycobactin T,C47H77N5O10,Presence
met__D_p,D-Methionine,C5H11NO2S,Presence
nac_e,Nicotinate,C6H4NO2,Presence
nac_p,Nicotinate,C6H4NO2,Presence
ocdca_e,Octadecanoate (n-C18:0),C18H35O2,Presence
ocdcea_e,Octadecenoate (n-C18:1),C18H33O2,Presence
ohpb_c,2-Oxo-3-hydroxy-4-phosphobutanoate,C4H4O8P,Presence
orn__D_e,D-Ornithine,C5H13N2O2,Presence
orn__D_p,D-Ornithine,C5H13N2O2,Presence
orn__L_e,L Ornithine C5H13N2O2,C5H13N2O2,Presence
pac_p,Phenylacetic acid,C8H7O2,Presence
pad_c,2 Phenylacetamide C8H9NO,C8H9NO,Presence
pald_c,Phosphonoacetaldehyde,C2H3O4P,Presence
pe140_c,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",C33H66NO8P,Presence
pe140_p,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",C33H66NO8P,Presence
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",C37H74NO8P,Presence
pe160_p,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",C37H74NO8P,Presence
pe180_c,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",C41H82NO8P,Presence
pe180_p,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",C41H82NO8P,Presence
