species,carbon,number_nzfmtb_ca,cs_flux,growth,theta_rank,growthability
Sphingomonas paucimobilis,Glycerol,288.0,0.25,0.03438788986969209,9,0
Sphingomonas paucimobilis,Cellobiose,291.0,0.25,0.03700744539689441,10,1
Sphingomonas paucimobilis,Serine,,0.25,0.0,11,0
Sphingomonas paucimobilis,Isoleucine,324.0,0.25,0.04828714095965926,12,1
Sphingomonas paucimobilis,Sorbitol,285.0,0.25,0.03476875599538074,13,0
Sphingomonas paucimobilis,Uridine,,0.25,0.0,14,0
Sphingomonas paucimobilis,Raffinose,300.0,0.25,0.03766867386618226,15,1
Agrobacterium tumefaciens,Succinate,263.0,0.5,0.07275867183226803,0,1
Agrobacterium tumefaciens,Alanine,280.0,0.5,0.07109467145222235,1,1
Agrobacterium tumefaciens,Glutamine,292.0,0.5,0.07223466401713526,2,0
Agrobacterium tumefaciens,Proline,266.0,0.5,0.09169090419060304,3,0
Agrobacterium tumefaciens,Acetate,286.0,0.5,0.07152014769284648,4,1
Agrobacterium tumefaciens,Mannitol,279.0,0.5,0.06953751199076112,5,1
Agrobacterium tumefaciens,Citrate,300.0,0.5,0.06698065057505612,6,0
Agrobacterium tumefaciens,Glucose,313.0,0.5,0.07031488576210006,7,1
Agrobacterium tumefaciens,Ribose,300.0,0.5,0.0703148857621006,8,1
Agrobacterium tumefaciens,Glycerol,280.0,0.5,0.06877577973938416,9,1
Agrobacterium tumefaciens,Cellobiose,327.0,0.5,0.07401489079378891,10,1
Agrobacterium tumefaciens,Serine,324.0,0.5,0.06027047558928969,11,0
Agrobacterium tumefaciens,Isoleucine,312.0,0.5,0.0965742819193184,12,0
Agrobacterium tumefaciens,Sorbitol,295.0,0.5,0.06953751199076134,13,1
Agrobacterium tumefaciens,Uridine,,0.5,0.0,14,0
Agrobacterium tumefaciens,Raffinose,296.0,0.5,0.050224898488243123,15,0
Alcaligenes faecalis,Succinate,271.0,0.5,0.05643290852941545,0,1
Alcaligenes faecalis,Alanine,271.0,0.5,0.0710917371522923,1,1
Alcaligenes faecalis,Glutamine,266.0,0.5,0.06723177459637233,2,1
Alcaligenes faecalis,Proline,263.0,0.5,0.08534049804146493,3,1
Alcaligenes faecalis,Acetate,259.0,0.5,0.05547228737304575,4,1
Alcaligenes faecalis,Mannitol,263.0,0.5,0.06402862957674339,5,0
Alcaligenes faecalis,Citrate,267.0,0.5,0.05195137338208715,6,1
Alcaligenes faecalis,Glucose,279.0,0.5,0.06474441844842983,7,0
Alcaligenes faecalis,Ribose,278.0,0.5,0.06659425897552786,8,0
Alcaligenes faecalis,Glycerol,272.0,0.5,0.06877294114738333,9,0
Alcaligenes faecalis,Cellobiose,,0.5,0.0,10,0
Alcaligenes faecalis,Serine,299.0,0.5,0.06026798803785067,11,0
Alcaligenes faecalis,Isoleucine,267.0,0.5,0.07570439190705082,12,1
Alcaligenes faecalis,Sorbitol,262.0,0.5,0.06402862957674323,13,0
Alcaligenes faecalis,Uridine,,0.5,0.0,14,0
Alcaligenes faecalis,Raffinose,,0.5,0.0,15,0
Delftia acidovorans,Succinate,266.0,0.5,0.05643367112731304,0,1
Delftia acidovorans,Alanine,282.0,0.5,0.07109433818620434,1,1
Delftia acidovorans,Glutamine,273.0,0.5,0.06723268312317526,2,1
Delftia acidovorans,Proline,271.0,0.5,0.08534165127786714,3,1
Delftia acidovorans,Acetate,283.0,0.5,0.055473036989729135,4,1
Delftia acidovorans,Mannitol,282.0,0.5,0.0695371860241417,5,1
Delftia acidovorans,Citrate,272.0,0.5,0.05195207541941157,6,1
Delftia acidovorans,Glucose,295.0,0.5,0.07031455615143493,7,0
Delftia acidovorans,Ribose,,0.5,0.0,8,1
Delftia acidovorans,Glycerol,295.0,0.5,0.068775457343489,9,1
Delftia acidovorans,Cellobiose,,0.5,0.0,10,0
Delftia acidovorans,Serine,280.0,0.5,0.060270193063174,11,0
Delftia acidovorans,Isoleucine,270.0,0.5,0.0757054258491609,12,1
Delftia acidovorans,Sorbitol,298.0,0.5,0.06953718602414188,13,0
Delftia acidovorans,Uridine,,0.5,0.0,14,0
Delftia acidovorans,Raffinose,,0.5,0.0,15,0
Pandoraea vervacti,Succinate,282.0,0.5,0.056435820875193304,0,1
Pandoraea vervacti,Alanine,280.0,0.5,0.07109467145222237,1,1
Pandoraea vervacti,Glutamine,272.0,0.5,0.06723524424165529,2,1
Pandoraea vervacti,Proline,274.0,0.5,0.08534490222770344,3,1
Pandoraea vervacti,Acetate,275.0,0.5,0.05547515014383204,4,1
Pandoraea vervacti,Mannitol,280.0,0.5,0.06953751199076108,5,1
Pandoraea vervacti,Citrate,271.0,0.5,0.05195405444827465,6,1
Pandoraea vervacti,Glucose,267.0,0.5,0.0703148857621004,7,0
Pandoraea vervacti,Ribose,284.0,0.5,0.07031488576210064,8,1
Pandoraea vervacti,Glycerol,281.0,0.5,0.06877577973938405,9,1
Pandoraea vervacti,Cellobiose,285.0,0.5,0.0740148907937887,10,0
Pandoraea vervacti,Serine,272.0,0.5,0.060270475589290065,11,1
Pandoraea vervacti,Isoleucine,277.0,0.5,0.07570834051243452,12,1
Pandoraea vervacti,Sorbitol,298.0,0.5,0.06953751199076115,13,0
Pandoraea vervacti,Uridine,291.0,0.5,0.058826977426929175,14,0
Pandoraea vervacti,Raffinose,,0.5,0.0,15,0
